occupation,soc_code,emp_2024,emp_2034,emp_change_num,emp_change_pct,median_wage_2024,education_required,annual_openings,automation_prob,occupation_fo,risk_tier,soc_major,occupation_group,education_level,wage_norm,edu_norm,adaptive_capacity_score,vulnerable,growth_direction,genai_exposure_2025,genai_exposure_2023
      Chief executives,11-1011,309.4,322.7,13.3,4.3,206420.0,Bachelor's degree,22.2,0.015,Chief executives,Low,11,Management,4.0,0.8972714314803502,0.6666666666666666,0.7819690490735084,False,Growing,0.33,0.31666666666666665
      General and operations managers,11-1021,3712.9,3876.8,164.0,4.4,102950.0,Bachelor's degree,308.7,0.16,General and operations managers,Low,11,Management,4.0,0.37054571370392997,0.6666666666666666,0.5186061901852983,False,Growing,0.4014285714285714,0.3771428571428571
      Advertising and promotions managers,11-2011,27.0,26.4,-0.6,-2.2,126960.0,Bachelor's degree,2.1,0.039,Advertising and promotions managers,Low,11,Management,4.0,0.492771329668092,0.6666666666666666,0.5797189981673794,False,Declining,0.39,0.33
        Marketing managers,11-2021,407.0,433.7,26.7,6.6,161030.0,Bachelor's degree,34.3,0.014,Marketing managers,Low,11,Management,4.0,0.6662085115047852,0.6666666666666666,0.6664375890857259,False,Growing,0.41,0.29
        Sales managers,11-2022,619.5,648.5,29.0,4.7,138060.0,Bachelor's degree,49.0,0.013,Sales managers,Low,11,Management,4.0,0.5492771329668092,0.6666666666666666,0.6079718998167379,False,Growing,0.41,0.29
      Computer and information systems managers,11-3021,667.1,768.7,101.6,15.2,171200.0,Bachelor's degree,55.6,0.035,Computer and information systems managers,Low,11,Management,4.0,0.7179800447973936,0.6666666666666666,0.6923233557320301,False,Growing,0.44,0.31
      Financial managers,11-3031,868.6,997.4,128.8,14.8,161700.0,Bachelor's degree,74.6,0.069,Financial managers,Low,11,Management,4.0,0.6696192221543474,0.6666666666666666,0.668142944410507,False,Growing,0.42,0.355
      Industrial production managers,11-3051,241.9,246.5,4.6,1.9,121440.0,Bachelor's degree,17.1,0.03,Industrial production managers,Low,11,Management,4.0,0.46467114640602736,0.6666666666666666,0.5656689065363469,False,Growing,0.38,0.36
      Purchasing managers,11-3061,83.5,86.1,2.6,3.1,139510.0,Bachelor's degree,6.4,0.03,Purchasing managers,Low,11,Management,4.0,0.556658521686011,0.6666666666666666,0.6116625941763388,False,Growing,0.42,0.33
"      Transportation, storage, and distribution managers",11-3071,216.7,229.8,13.1,6.1,102010.0,High school diploma or equivalent,18.5,0.59,"Transportation, storage, and distribution managers",Medium,11,Management,1.0,0.3657605375687233,0.16666666666666666,0.26621360211769496,False,Growing,0.38,0.39
      Compensation and benefits managers,11-3111,20.9,20.9,0.0,0.2,140360.0,Bachelor's degree,1.5,0.96,Compensation and benefits managers,High,11,Management,4.0,0.5609855426593362,0.6666666666666666,0.6138261046630014,False,Growing,0.36,0.27
      Human resources managers,11-3121,221.9,233.0,11.1,5.0,140030.0,Bachelor's degree,17.9,0.0055,Human resources managers,Low,11,Management,4.0,0.559305640399104,0.6666666666666666,0.6129861535328853,False,Growing,0.36,0.27
      Training and development managers,11-3131,46.4,49.2,2.7,5.8,127090.0,Bachelor's degree,3.8,0.0063,Training and development managers,Low,11,Management,4.0,0.4934331093463653,0.6666666666666666,0.5800498880065159,False,Growing,0.36,0.27
"      Farmers, ranchers, and other agricultural managers",11-9013,836.1,825.0,-11.1,-1.3,87980.0,High school diploma or equivalent,85.5,0.047,"Farmers, ranchers, and other agricultural managers",Low,11,Management,1.0,0.29433923844430865,0.16666666666666666,0.23050295255548764,False,Declining,0.245,0.3
      Construction managers,11-9021,550.3,598.4,48.1,8.7,106980.0,Bachelor's degree,46.8,0.071,Construction managers,Low,11,Management,4.0,0.39106088373040115,0.6666666666666666,0.5288637751985339,False,Growing,0.24000000000000002,0.27999999999999997
"        Education and childcare administrators, preschool and daycare",11-9031,90.2,87.9,-2.3,-2.5,56270.0,Bachelor's degree,5.5,0.015,"Education administrators, preschool and childcare center/program",Low,11,Management,4.0,0.1329159030747302,0.6666666666666666,0.3997912848706984,False,Declining,0.3,0.26
"        Education administrators, kindergarten through secondary",11-9032,333.3,328.1,-5.1,-1.5,104070.0,Master's degree,20.8,0.0046,"Education administrators, elementary and secondary school",Low,11,Management,5.0,0.3762472001628996,0.8333333333333333,0.6047902667481164,False,Declining,0.36,0.27
"        Education administrators, postsecondary",11-9033,226.6,230.5,4.0,1.7,103960.0,Master's degree,15.1,0.01,"Education administrators, postsecondary",Low,11,Management,5.0,0.37568723274282223,0.8333333333333333,0.6045102830380777,False,Growing,0.36,0.27
      Architectural and engineering managers,11-9041,212.5,220.5,8.0,3.8,167740.0,Bachelor's degree,14.5,0.017,Architectural and engineering managers,Low,11,Management,4.0,0.7003665241295052,0.6666666666666666,0.683516595398086,False,Growing,0.4,0.24
      Food service managers,11-9051,352.8,375.3,22.6,6.4,65310.0,High school diploma or equivalent,42.0,0.083,Food service managers,Low,11,Management,1.0,0.17893504377927102,0.16666666666666666,0.17280085522296884,False,Growing,0.36,0.42
