automation_prob,soc_code,occupation_fo
0.0028,29-1125,Recreational therapists
0.003,49-1011,"First-line supervisors of mechanics, installers, and repairers"
0.003,11-9161,Emergency management directors
0.0031,21-1023,Mental health and substance abuse social workers
0.0033,29-1181,Audiologists
0.0035,29-1122,Occupational therapists
0.0035,29-2091,Orthotists and prosthetists
0.0035,21-1022,Healthcare social workers
0.0036,29-1022,Oral and maxillofacial surgeons
0.0036,33-1021,First-line supervisors of fire fighting and prevention workers
0.0039,29-1031,Dietitians and nutritionists
0.0039,11-9081,Lodging managers
0.004,27-2032,Choreographers
0.0041,41-9031,Sales engineers
0.0042,29-1060,Physicians and surgeons
0.0042,25-9031,Instructional coordinators
0.0043,19-3039,"Psychologists, all other"
0.0044,33-1012,First-line supervisors of police and detectives
0.0044,29-1021,"Dentists, general"
0.0044,25-2021,"Elementary school teachers, except special education"
0.0045,19-1042,"Medical scientists, except epidemiologists"
0.0046,11-9032,"Education administrators, elementary and secondary school"
0.0046,29-1081,Podiatrists
0.0047,19-3031,"Clinical, counseling, and school psychologists"
0.0048,21-1014,Mental health counselors
0.0049,51-6092,Fabric and apparel patternmakers
0.0055,27-1027,Set and exhibit designers
0.0055,11-3121,Human resources managers
0.0061,39-9032,Recreation workers
0.0063,11-3131,Training and development managers
0.0064,29-1127,Speech-language pathologists
0.0065,15-1121,Computer systems analysts
0.0067,11-9151,Social and community service managers
0.0068,25-4012,Curators
0.0071,29-9091,Athletic trainers
0.0073,11-9111,Medical and health services managers
0.0074,25-2011,"Preschool reachers, except special education"
0.0075,25-9021,Farm and home management advisors
0.0077,19-3091,Anthropologists and archeologists
0.0077,25-2054,"Special education teachers, secondary school"
0.0078,25-2031,"Secondary school teachers, except special and career/technical education"
0.0081,21-2011,Clergy
0.0081,19-1032,Foresters
0.0085,21-1012,"Educational, guidance, school, and vocational counselors"
0.0088,25-2032,"Career/technical education teachers, secondary school"
0.009,29-1141,Registered nurses
0.0094,21-1015,Rehabilitation counselors
0.0095,25-3999,"Teachers and Instructors, all other"
0.0095,19-4092,Forensic science technicians
0.01,39-5091,"Makeup artists, theatrical and performance"
0.01,17-2121,Marine engineers and naval architects
0.01,11-9033,"Education administrators, postsecondary"
0.011,17-2141,Mechanical engineers
0.012,29-1051,Pharmacists
0.012,13-1081,Logisticians
0.012,19-1022,Microbiologists
0.012,19-3032,Industrial-organizational psychologists
0.013,27-2022,Coaches and scouts
0.013,11-2022,Sales managers
0.014,19-2043,Hydrologists
0.014,11-2021,Marketing managers
0.014,21-1013,Marriage and family therapists
0.014,17-2199,"Engineers, all other"
0.014,13-1151,Training and development specialists
0.014,43-1011,First-line supervisors of office and administrative support workers
0.015,19-1029,"Biological scientists, all other"
0.015,11-2031,Public relations and fundraising managers
0.015,27-1014,Multimedia artists and animators
0.015,15-1111,Computer and information research scientists
0.015,11-1011,Chief executives
0.015,11-9031,"Education administrators, preschool and childcare center/program"
0.015,27-2041,Music directors and composers
0.016,51-1011,First-line supervisors of production and operating workers
0.016,41-3031,"Securities, commodities, and financial services sales agents"
0.016,19-1031,Conservation scientists
0.016,25-2053,"Special education teachers, middle school"
0.017,17-2041,Chemical engineers
0.017,11-9041,Architectural and engineering managers
0.017,17-2011,Aerospace engineers
0.018,11-9121,Natural sciences managers
0.018,17-2081,Environmental engineers
0.018,17-1011,"Architects, except landscape and naval"
0.018,31-2021,Physical therapist assistants
0.019,17-2051,Civil engineers
0.02,29-1199,"Health diagnosing and treating practitioners, all other"
